P = 15;
R = 2;
Ai = [54,115,9,14,25,32,34,34,40,59,191,176,85,77,201];
Ei = [129,190,84,89,100,107,109,109,115,134,266,251,160,152,276];
Ti = [155,250,93,98,111,120,121,120,128,151,341,313,181,171,342];
Li = [559,732,501,509,536,552,550,544,557,610,837,778,674,637,815];
gi = [10,10,30,30,30,30,30,30,30,30,10,10,30,30,10];
hi = [10,10,30,30,30,30,30,30,30,30,10,10,30,30,10];
S = [
  [99999,3,15,15,15,15,15,15,15,15,3,3,15,15,3],
  [3,99999,15,15,15,15,15,15,15,15,3,3,15,15,3],
  [15,15,99999,8,8,8,8,8,8,8,15,15,8,8,15],
  [15,15,8,99999,8,8,8,8,8,8,15,15,8,8,15],
  [15,15,8,8,99999,8,8,8,8,8,15,15,8,8,15],
  [15,15,8,8,8,99999,8,8,8,8,15,15,8,8,15],
  [15,15,8,8,8,8,99999,8,8,8,15,15,8,8,15],
  [15,15,8,8,8,8,8,99999,8,8,15,15,8,8,15],
  [15,15,8,8,8,8,8,8,99999,8,15,15,8,8,15],
  [15,15,8,8,8,8,8,8,8,99999,15,15,8,8,15],
  [3,3,15,15,15,15,15,15,15,15,99999,3,15,15,3],
  [3,3,15,15,15,15,15,15,15,15,3,99999,15,15,3],
  [15,15,8,8,8,8,8,8,8,8,15,15,99999,8,15],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,99999,15],
  [3,3,15,15,15,15,15,15,15,15,3,3,15,15,99999],
];
