P = 44;
R = 2;
Ai = [0,4,71,151,231,303,453,560,695,767,967,1039,1239,1319,1391,1591,1671,1743,1943,2023,2095,2191,2391,2463,2663,2743,2823,2903,2975,3071,3271,3343,3543,3615,3711,3911,3991,4071,4143,4239,4335,4431,4527,4727];
Ei = [0,79,146,226,306,378,528,635,770,842,1042,1114,1314,1394,1466,1666,1746,1818,2018,2098,2170,2266,2466,2538,2738,2818,2898,2978,3050,3146,3346,3418,3618,3690,3786,3986,4066,4146,4218,4314,4410,4506,4602,4802];
Ti = [0,137,271,351,431,503,626,727,895,967,1167,1239,1439,1519,1591,1791,1871,1943,2143,2223,2295,2391,2591,2663,2863,2943,3023,3103,3175,3271,3471,3543,3743,3815,3911,4111,4191,4271,4343,4439,4535,4631,4727,4927];
Li = [0,196,396,476,556,628,724,820,1020,1092,1292,1364,1564,1644,1716,1916,1996,2068,2268,2348,2420,2516,2716,2788,2988,3068,3148,3228,3300,3396,3596,3668,3868,3940,4036,4236,4316,4396,4468,4564,4660,4756,4852,5052];
gi = [2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1];
hi = [2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1];
S = [
  [99999,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [96,99999,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [72,72,99999,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [72,72,80,99999,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [72,72,80,80,99999,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [96,96,200,200,200,99999,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [96,96,200,200,200,96,99999,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [96,96,200,200,200,96,96,99999,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [72,72,80,80,80,72,72,72,99999,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [96,96,200,200,200,96,96,96,200,99999,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [72,72,80,80,80,72,72,72,80,72,99999,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [96,96,200,200,200,96,96,96,200,96,200,99999,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
  [72,72,80,80,80,72,72,72,80,72,80,72,99999,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [72,72,80,80,80,72,72,72,80,72,80,72,80,99999,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80],
  [96,96,200,200,200,96,96,96,200,96,200,96,200,200,99999,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200],
