P = 20;
R = 4;
Ai = [0,82,59,28,126,20,110,23,42,42,57,39,186,175,139,235,194,162,69,76];
Ei = [75,157,134,103,201,95,185,98,117,117,132,114,261,250,214,310,269,237,144,151];
Ti = [82,197,160,117,261,106,229,108,132,130,149,126,336,316,258,409,338,287,160,169];
Li = [486,628,561,565,735,524,664,523,578,569,615,551,834,790,688,967,818,726,607,624];
gi = [30,10,10,30,10,30,10,30,30,30,30,30,10,10,10,10,10,10,30,30];
hi = [30,10,10,30,10,30,10,30,30,30,30,30,10,10,10,10,10,10,30,30];
S = [
  [99999,15,15,8,15,8,15,8,8,8,8,8,15,15,15,15,15,15,8,8],
  [15,99999,3,15,3,15,3,15,15,15,15,15,3,3,3,3,3,3,15,15],
  [15,3,99999,15,3,15,3,15,15,15,15,15,3,3,3,3,3,3,15,15],
  [8,15,15,99999,15,8,15,8,8,8,8,8,15,15,15,15,15,15,8,8],
  [15,3,3,15,99999,15,3,15,15,15,15,15,3,3,3,3,3,3,15,15],
  [8,15,15,8,15,99999,15,8,8,8,8,8,15,15,15,15,15,15,8,8],
  [15,3,3,15,3,15,99999,15,15,15,15,15,3,3,3,3,3,3,15,15],
  [8,15,15,8,15,8,15,99999,8,8,8,8,15,15,15,15,15,15,8,8],
  [8,15,15,8,15,8,15,8,99999,8,8,8,15,15,15,15,15,15,8,8],
  [8,15,15,8,15,8,15,8,8,99999,8,8,15,15,15,15,15,15,8,8],
  [8,15,15,8,15,8,15,8,8,8,99999,8,15,15,15,15,15,15,8,8],
  [8,15,15,8,15,8,15,8,8,8,8,99999,15,15,15,15,15,15,8,8],
  [15,3,3,15,3,15,3,15,15,15,15,15,99999,3,3,3,3,3,15,15],
  [15,3,3,15,3,15,3,15,15,15,15,15,3,99999,3,3,3,3,15,15],
  [15,3,3,15,3,15,3,15,15,15,15,15,3,3,99999,3,3,3,15,15],
  [15,3,3,15,3,15,3,15,15,15,15,15,3,3,3,99999,3,3,15,15],
  [15,3,3,15,3,15,3,15,15,15,15,15,3,3,3,3,99999,3,15,15],
  [15,3,3,15,3,15,3,15,15,15,15,15,3,3,3,3,3,99999,15,15],
  [8,15,15,8,15,8,15,8,8,8,8,8,15,15,15,15,15,15,99999,8],
  [8,15,15,8,15,8,15,8,8,8,8,8,15,15,15,15,15,15,8,99999],
];
