P = 20;
R = 3;
Ai = [54,112,7,10,20,25,26,25,30,47,165,149,67,60,167,225,67,70,63,87];
Ei = [129,187,82,85,95,100,101,100,105,122,240,224,142,135,242,300,142,145,138,162];
Ti = [155,246,90,94,105,112,112,111,117,137,307,280,161,151,301,393,159,162,153,182];
Li = [559,726,497,502,527,540,536,529,540,587,789,734,639,604,760,931,612,616,590,658];
gi = [10,10,30,30,30,30,30,30,30,30,10,10,30,30,10,10,30,30,30,30];
hi = [10,10,30,30,30,30,30,30,30,30,10,10,30,30,10,10,30,30,30,30];
S = [
  [99999,3,15,15,15,15,15,15,15,15,3,3,15,15,3,3,15,15,15,15],
  [3,99999,15,15,15,15,15,15,15,15,3,3,15,15,3,3,15,15,15,15],
  [15,15,99999,8,8,8,8,8,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,99999,8,8,8,8,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,99999,8,8,8,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,8,99999,8,8,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,8,8,99999,8,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,8,8,8,99999,8,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,8,8,8,8,99999,8,15,15,8,8,15,15,8,8,8,8],
  [15,15,8,8,8,8,8,8,8,99999,15,15,8,8,15,15,8,8,8,8],
  [3,3,15,15,15,15,15,15,15,15,99999,3,15,15,3,3,15,15,15,15],
  [3,3,15,15,15,15,15,15,15,15,3,99999,15,15,3,3,15,15,15,15],
  [15,15,8,8,8,8,8,8,8,8,15,15,99999,8,15,15,8,8,8,8],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,99999,15,15,8,8,8,8],
  [3,3,15,15,15,15,15,15,15,15,3,3,15,15,99999,3,15,15,15,15],
  [3,3,15,15,15,15,15,15,15,15,3,3,15,15,3,99999,15,15,15,15],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,8,15,15,99999,8,8,8],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,8,15,15,8,99999,8,8],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,8,15,15,8,8,99999,8],
  [15,15,8,8,8,8,8,8,8,8,15,15,8,8,15,15,8,8,8,99999],
];
