P = 50;
R = 3;
Ai = [0,82,59,28,126,20,110,23,42,42,57,39,186,175,139,235,194,162,69,76,504,257,150,101,203,220,250,259,287,421,400,254,281,296,236,417,396,360,386,416,437,439,223,244,254,346,289,307,302,136];
Ei = [75,157,134,103,201,95,185,98,117,117,132,114,261,250,214,310,269,237,144,151,579,332,225,176,278,295,325,334,362,496,475,329,356,371,311,492,471,435,461,491,512,514,298,319,329,421,364,382,377,211];
Ti = [82,197,160,117,261,106,229,108,132,130,149,126,336,316,258,409,338,287,160,169,628,425,333,269,398,378,426,498,521,634,674,512,524,562,412,717,564,572,654,725,732,763,401,450,456,673,527,577,468,345];
Li = [486,628,561,565,735,524,664,523,578,569,615,551,834,790,688,967,818,726,607,624,866,799,712,610,721,781,954,897,1012,1023,976,863,963,872,896,1231,1013,964,1036,1098,1127,1134,815,827,927,1042,958,916,894,828];
gi = [30,10,10,30,10,30,10,30,30,30,30,30,10,10,10,10,10,10,30,30,15,30,25,10,15,30,20,20,15,20,15,30,25,10,15,30,20,20,15,20,15,30,25,10,15,30,20,20,15,20];
hi = [30,10,10,30,10,30,10,30,30,30,30,30,10,10,10,10,10,10,30,30,15,30,25,10,15,30,20,20,15,20,15,30,25,10,15,30,20,20,15,20,15,30,25,10,15,30,20,20,15,20];
S = [
  [99999,3,8,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [3,99999,8,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [8,8,99999,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [15,15,15,99999,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [8,8,8,8,99999,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [15,15,15,15,15,99999,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [3,3,3,3,3,3,99999,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [8,8,8,8,8,8,8,99999,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [8,8,8,8,8,8,8,8,99999,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
  [3,3,3,3,3,3,3,3,3,99999,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3],
