P = 30;
R = 4;
Ai = [0,4,69,129,189,245,453,560,655,691,715,845,971,1031,1061,1091,1158,1567,1640,1695,1999,2093,2184,2352,2406,2604,2808,2907,2971,3016];
Ei = [0,79,144,204,264,320,528,635,730,766,790,920,1046,1106,1136,1166,1233,1642,1715,1770,2074,2168,2259,2427,2481,2679,2883,2982,3046,3091];
Ti = [0,79,144,204,264,320,528,635,730,766,790,920,1046,1106,1136,1166,1233,1642,1715,1770,2074,2168,2259,2427,2481,2679,2883,2982,3046,3091];
Li = [0,96,192,392,464,560,760,832,1032,1112,1184,1280,1461,1591,1671,1751,1831,1903,1999,2180,2252,2348,2576,2656,2728,2928,2998,3098,3170,3266];
gi = [4,4,4,3,4,4,3,4,3,3,4,4,2,1,3,3,3,4,4,2,4,4,1,3,4,3,2,3,4,4];
hi = [4,4,4,3,4,4,3,4,3,3,4,4,2,1,3,3,3,4,4,2,4,4,1,3,4,3,2,3,4,4];
S = [
  [99999,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [96,99999,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [96,96,99999,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [72,72,72,99999,72,72,80,72,80,80,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [96,96,96,200,99999,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [96,96,96,200,96,99999,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [72,72,72,80,72,72,99999,72,80,80,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [96,96,96,200,96,96,200,99999,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [72,72,72,80,72,72,80,72,99999,80,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [72,72,72,80,72,72,80,72,80,99999,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [96,96,96,200,96,96,200,96,200,200,99999,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [96,96,96,200,96,96,200,96,200,200,96,99999,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,96],
  [72,72,72,100,72,72,100,72,100,100,72,72,99999,130,100,100,100,72,72,70,72,72,130,100,72,100,70,100,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,99999,80,80,80,72,72,70,72,72,90,80,72,80,70,80,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,99999,80,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,80,99999,80,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,80,80,99999,72,72,70,72,72,110,80,72,80,70,80,72,72],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,99999,96,181,96,96,228,200,96,200,181,200,96,96],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,99999,181,96,96,228,200,96,200,181,200,96,96],
  [72,72,72,100,72,72,100,72,100,100,72,72,70,130,100,100,100,72,72,99999,72,72,130,100,72,100,70,100,72,72],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,99999,96,228,200,96,200,181,200,96,96],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,99999,228,200,96,200,181,200,96,96],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,90,80,80,80,72,72,70,72,72,99999,80,72,80,70,80,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,80,80,80,72,72,70,72,72,110,99999,72,80,70,80,72,72],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,99999,200,181,200,96,96],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,99999,70,80,72,72],
  [72,72,72,100,72,72,100,72,100,100,72,72,70,130,100,100,100,72,72,70,72,72,130,100,72,100,99999,100,72,72],
  [72,72,72,80,72,72,80,72,80,80,72,72,70,110,80,80,80,72,72,70,72,72,110,80,72,80,70,99999,72,72],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,99999,96],
  [96,96,96,200,96,96,200,96,200,200,96,96,181,228,200,200,200,96,96,181,96,96,228,200,96,200,181,200,96,99999],
];
