P = 10;
R = 2;
Ai = [54,120,14,21,35,45,49,51,60,85];
Ei = [129,195,89,96,110,120,124,126,135,160];
Ti = [155,258,98,106,123,135,138,140,150,180];
Li = [559,744,510,521,555,576,577,573,591,657];
gi = [10,10,30,30,30,30,30,30,30,30];
hi = [10,10,30,30,30,30,30,30,30,30];
S = [
  [99999,3,15,15,15,15,15,15,15,15],
  [3,99999,15,15,15,15,15,15,15,15],
  [15,15,99999,8,8,8,8,8,8,8],
  [15,15,8,99999,8,8,8,8,8,8],
  [15,15,8,8,99999,8,8,8,8,8],
  [15,15,8,8,8,99999,8,8,8,8],
  [15,15,8,8,8,8,99999,8,8,8],
  [15,15,8,8,8,8,8,99999,8,8],
  [15,15,8,8,8,8,8,8,99999,8],
  [15,15,8,8,8,8,8,8,8,99999],
];
