P = 20;
R = 4;
Ai = [7,9,75,129,14,29,30,30,26,146,157,63,48,160,78,65,76,76,75,211];
Ei = [82,84,150,204,89,104,105,105,101,221,232,138,123,235,153,140,151,151,150,286];
Ti = [92,93,183,270,98,117,118,116,112,280,295,156,137,291,174,156,170,169,168,357];
Li = [510,509,599,760,510,552,550,542,528,742,766,630,573,746,663,609,642,634,627,840];
gi = [30,30,10,10,30,30,30,30,30,10,10,30,30,10,30,30,30,30,30,10];
hi = [30,30,10,10,30,30,30,30,30,10,10,30,30,10,30,30,30,30,30,10];
S = [
  [99999,8,15,15,8,8,8,8,8,15,15,8,8,15,8,8,8,8,8,15],
  [8,99999,15,15,8,8,8,8,8,15,15,8,8,15,8,8,8,8,8,15],
  [15,15,99999,3,15,15,15,15,15,3,3,15,15,3,15,15,15,15,15,3],
  [15,15,3,99999,15,15,15,15,15,3,3,15,15,3,15,15,15,15,15,3],
  [8,8,15,15,99999,8,8,8,8,15,15,8,8,15,8,8,8,8,8,15],
  [8,8,15,15,8,99999,8,8,8,15,15,8,8,15,8,8,8,8,8,15],
  [8,8,15,15,8,8,99999,8,8,15,15,8,8,15,8,8,8,8,8,15],
  [8,8,15,15,8,8,8,99999,8,15,15,8,8,15,8,8,8,8,8,15],
  [8,8,15,15,8,8,8,8,99999,15,15,8,8,15,8,8,8,8,8,15],
  [15,15,3,3,15,15,15,15,15,99999,3,15,15,3,15,15,15,15,15,3],
  [15,15,3,3,15,15,15,15,15,3,99999,15,15,3,15,15,15,15,15,3],
  [8,8,15,15,8,8,8,8,8,15,15,99999,8,15,8,8,8,8,8,15],
  [8,8,15,15,8,8,8,8,8,15,15,8,99999,15,8,8,8,8,8,15],
  [15,15,3,3,15,15,15,15,15,3,3,15,15,99999,15,15,15,15,15,3],
  [8,8,15,15,8,8,8,8,8,15,15,8,8,15,99999,8,8,8,8,15],
  [8,8,15,15,8,8,8,8,8,15,15,8,8,15,8,99999,8,8,8,15],
  [8,8,15,15,8,8,8,8,8,15,15,8,8,15,8,8,99999,8,8,15],
  [8,8,15,15,8,8,8,8,8,15,15,8,8,15,8,8,8,99999,8,15],
  [8,8,15,15,8,8,8,8,8,15,15,8,8,15,8,8,8,8,99999,15],
  [15,15,3,3,15,15,15,15,15,3,3,15,15,3,15,15,15,15,15,99999],
];
